State,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,drinkability
Punjab,8.35,500,24,98,14,95,38,0,160,28,22,50,2.06,0.25,300,21,1
Punjab,8.15,275,0,126,21,0,17,0,84,21,7.7,27,3,0.25,165,11,1
Punjab,8.26,300,0,146,14,3,17,0,95,25,8,27,3,0.24,180,10,1
Punjab,8.13,290,0,84,21,42,12,0,126,25,15,11,2,0.67,174,8,1
Punjab,8.04,290,0,122,21,3,23,0,116,38,5,16,1,0.23,174,10,1
Punjab,8.42,510,14,177,57,3,22,0,158,17,28,49,3,0.26,306,10,1
Punjab,8.8,1070,60,342,120,0,20,0,150,12,29,190,7.2,0.88,642,25,0
Punjab,8.6,400,36,159,28,0,6.51,0,130,20,19,48,4.2,0.62,240,24,1
Punjab,8.45,315,24,146,7.1,0,2.61,0,140,20,22,14,3.16,0.57,189,26,1
Punjab,8.65,558,24,159,35,60,22,0,140,12,27,70,9.1,0.27,334.8,28,1
Punjab,8.8,885,84,317,71,0,4.08,0,160,4,36,155,9.4,0.49,531,23,0
Punjab,8.58,400,36,220,14,0,0,0,120,12,22,62,7.6,0.47,240,24,1
Punjab,8.55,504,36,134,35,0,55,0,160,16,29,48,5.3,0.3,302.4,22,1
Punjab,8.28,862,0,452,21,58,2.5,0,190,12,39,120,15,0.5,517.2,23,1
Punjab,8.65,724,72,317,28,0,14,0,190,12,39,110,7.2,0.81,434.4,21,0
Punjab,8.88,1220,24,696,28,30,25,0,190,24,44,235,8.1,0.46,732,22,1
Punjab,8.7,580,72,232,14,28,19,0,200,8,44,80,6.7,0.36,348,23,1
Punjab,8.6,798,54,207,35,60,52,0,260,16,54,44,51,1,478.8,25,0
Punjab,7.86,612,0,240,60,60,8.5,0,270,60,29,43,5.9,0.4,367.2,17.4,1
Punjab,8.42,5400,72,281,610,892,900,0,761,24,170,780,340,0.3,3240,19,0
Punjab,8.8,2360,120,415,213,412,44,0,290,12,63,460,18,1,1416,26,0
Punjab,8.39,760,44,74,78,87,58,0,231,34,36,34,53,0.55,456,21,0
Punjab,8.72,1335,88,207,121,211,4,0,231,21,43,225,9.5,0.86,801,20,0
Punjab,8.17,2570,0,178,411,536,23,0,557,67,94,351,10,0.38,1542,17,1
Punjab,8.36,1220,14,224,121,222,48,0,273,12,61,111,103,0.26,732,15,0
Punjab,8.5,333,36,146,14,18,0,0,150,24,22,30,4.6,0.15,199.8,23,1
Punjab,8.23,195,0,110,7.1,10,2.47,0,90,24,19,10,1.2,0.12,117,26,1
Punjab,8.2,196,0,110,14,5,2,0,100,24,9.73,8,1.4,0.15,117.6,23,1
Punjab,8.3,388,12,98,21,45,27,0,130,28,15,28,9.7,0.12,232.8,28,1
Punjab,8.28,750,0,122,85,168,3.34,0,230,36,34,77,3.5,0.08,450,23,1
Punjab,8.32,250,12,110,14,0,11,0,110,24,12,14,1.6,0.11,150,26,1
Punjab,8.1,540,0,232,35,12,46,0,210,32,32,38,0.9,0.22,324,22,1
Punjab,8.05,525,0,134,71,52,14,0,180,36,22,45,1.4,0.25,315,19,1
Punjab,8.5,520,36,232,28,0,27,0,200,16,39,50,5.2,0.29,312,20,1
Punjab,8.8,960,60,183,7.1,206,0,0,170,12,34,180,6.3,0.42,576,21,1
Punjab,7.64,2740,0,360,365,470,7.6,0,390,52,63,494,13,1.3,1644,23,1
Punjab,8.47,3150,72,195,248,1022,9.04,0,300,20,61,650,1.1,0.98,1890,25,0
Punjab,8.72,742,60,281,50,18,28,0,210,16,41,105,6.7,0.32,445.2,25,1
Punjab,8.67,1457,60,366,121,195,3.71,0,220,12,46,255,7.4,0.81,874.2,22,0
Punjab,8.88,1505,84,220,78,372,0,0,140,24,19,320,4.05,4.12,903,24,0
Punjab,7.92,810,0,84,64,226,10,0,326,67,38,34,3,0.1,486,10,1
Punjab,8.21,840,0,321,64,26,52,0,263,21,51,50,40,0.17,504,10,1
Punjab,8.44,520,14,174,57,6,17,0,189,21,33,31,7,0.33,312,10,1
Punjab,8.75,532,60,244,14,0,13,0,140,8,29,86,7,0.42,319.2,21,1
